mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,brand
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,chevrolet chevelle concours (sw),chevrolet
13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0,ford gran torino (sw),ford
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,plymouth satellite custom (sw),plymouth
18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,volvo 145e (sw),volvo
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,volkswagen 411 (sw),volkswagen
21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,peugeot 504 (sw),peugeot
26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,renault 12 (sw),renault
22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0,ford pinto (sw),ford
28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0,datsun 510 (sw),datsun
23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,toyouta corona mark ii (sw),toyouta
28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,dodge colt (sw),dodge
27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,toyota corolla 1600 (sw),toyota
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,buick century 350,buick
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,amc matador,amc
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,chevrolet malibu,chevrolet
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,ford gran torino,ford
15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,dodge coronet custom,dodge
12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,mercury marquis brougham,mercury
13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,chevrolet caprice classic,chevrolet
13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,ford ltd,ford
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,plymouth fury gran sedan,plymouth
13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,chrysler new yorker brougham,chrysler
12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,buick electra 225 custom,buick
13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,amc ambassador brougham,amc
18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,plymouth valiant,plymouth
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,chevrolet nova custom,chevrolet
18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,amc hornet,amc
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0,ford maverick,ford
23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0,plymouth duster,plymouth
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,volkswagen super beetle,volkswagen
11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,chevrolet impala,chevrolet
12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0,ford country,ford
13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0,plymouth custom suburb,plymouth
12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,oldsmobile vista cruiser,oldsmobile
18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,amc gremlin,amc
20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,toyota carina,toyota
21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,chevrolet vega,chevrolet
22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0,datsun 610,datsun
18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,maxda rx3,maxda
19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,ford pinto,ford
21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0,mercury capri v6,mercury
26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,fiat 124 sport coupe,fiat
15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,chevrolet monte carlo s,chevrolet
16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,pontiac grand prix,pontiac
29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,fiat 128,fiat
24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0,opel manta,opel
20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,audi 100ls,audi
19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0,volvo 144ea,volvo
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,dodge dart custom,dodge
24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,saab 99le,saab
20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0,toyota mark ii,toyota
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,oldsmobile omega,oldsmobile
20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,plymouth duster,plymouth
19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,amc hornet,amc
15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,chevrolet nova,chevrolet
31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0,datsun b210,datsun
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,ford pinto,ford
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,toyota corolla 1200,toyota
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,chevrolet vega,chevrolet
16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0,chevrolet chevelle malibu classic,chevrolet
16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,amc matador,amc
18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,plymouth satellite sebring,plymouth
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,ford gran torino,ford
13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,buick century luxus (sw),buick
14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,dodge coronet custom (sw),dodge
14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,ford gran torino (sw),ford
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0,amc matador (sw),amc
29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,audi fox,audi
26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,volkswagen dasher,volkswagen
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,opel manta,opel
31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,toyota corona,toyota
32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0,datsun 710,datsun
28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,dodge colt,dodge
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,fiat 128,fiat
26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,fiat 124 tc,fiat
24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,honda civic,honda
26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,subaru,subaru
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,fiat x1.9,fiat
19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,plymouth valiant custom,plymouth
18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,chevrolet nova,chevrolet
15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,mercury monarch,mercury
15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,ford maverick,ford
16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,pontiac catalina,pontiac
15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,chevrolet bel air,chevrolet
16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,plymouth grand fury,plymouth
14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,ford ltd,ford
17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0,buick century,buick
16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0,chevroelt chevelle malibu,chevroelt
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,amc matador,amc
18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,plymouth fury,plymouth
21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,buick skyhawk,buick
20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,chevrolet monza 2+2,chevrolet
13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,ford mustang ii,ford
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,toyota corolla,toyota
23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,ford pinto,ford
20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,amc gremlin,amc
23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,pontiac astro,pontiac
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,toyota corona,toyota
25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,volkswagen dasher,volkswagen
24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0,datsun 710,datsun
18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0,ford pinto,ford
29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,volkswagen rabbit,volkswagen
19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,amc pacer,amc
23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,audi 100ls,audi
23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,peugeot 504,peugeot
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,volvo 244dl,volvo
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0,saab 99le,saab
33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,honda civic cvcc,honda
28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,fiat 131,fiat
25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0,opel 1900,opel
25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0,capri ii,capri
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,dodge colt,dodge
27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,renault 12tl,renault
17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,chevrolet chevelle malibu classic,chevrolet
16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,dodge coronet brougham,dodge
15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,amc matador,amc
14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0,ford gran torino,ford
22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,plymouth valiant,plymouth
22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,chevrolet nova,chevrolet
24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,ford maverick,ford
22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,amc hornet,amc
29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,chevrolet chevette,chevrolet
24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1.0,chevrolet woody,chevrolet
29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0,vw rabbit,vw
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0,honda civic,honda
20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0,dodge aspen se,dodge
18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1.0,ford granada ghia,ford
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0,pontiac ventura sj,pontiac
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0,amc pacer d/l,amc
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0,volkswagen rabbit,volkswagen
32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3.0,datsun b-210,datsun
28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0,toyota corolla,toyota
26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0,ford pinto,ford
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0,volvo 245,volvo
13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0,plymouth volare premier v8,plymouth
19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0,peugeot 504,peugeot
19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3.0,toyota mark ii,toyota
16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0,mercedes-benz 280s,mercedes-benz
16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0,cadillac seville,cadillac
13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0,chevy c10,chevy
13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1.0,ford f108,ford
13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0,dodge d100,dodge
31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0,honda accord cvcc,honda
30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1.0,buick opel isuzu deluxe,buick
36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0,renault 5 gtl,renault
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0,plymouth arrow gs,plymouth
33.5,4.0,85.0,70.0,1945.0,16.8,77.0,3.0,datsun f-10 hatchback,datsun
17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0,chevrolet caprice classic,chevrolet
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0,oldsmobile cutlass supreme,oldsmobile
15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0,dodge monaco brougham,dodge
15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0,mercury cougar brougham,mercury
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0,chevrolet concours,chevrolet
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0,buick skylark,buick
19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0,plymouth volare custom,plymouth
18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0,ford granada,ford
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0,pontiac grand prix lj,pontiac
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0,chevrolet monte carlo landau,chevrolet
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0,chrysler cordoba,chrysler
16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0,ford thunderbird,ford
29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0,volkswagen rabbit custom,volkswagen
24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0,pontiac sunbird coupe,pontiac
26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0,toyota corolla liftback,toyota
25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0,ford mustang ii 2+2,ford
30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0,chevrolet chevette,chevrolet
33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0,dodge colt m/m,dodge
30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0,subaru dl,subaru
30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2.0,volkswagen dasher,volkswagen
22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3.0,datsun 810,datsun
21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0,bmw 320i,bmw
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0,mazda rx-4,mazda
43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0,volkswagen rabbit custom diesel,volkswagen
36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1.0,ford fiesta,ford
32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0,mazda glc deluxe,mazda
39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3.0,datsun b210 gx,datsun
36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0,honda civic cvcc,honda
19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0,oldsmobile cutlass salon brougham,oldsmobile
19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0,dodge diplomat,dodge
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0,mercury monarch ghia,mercury
19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0,pontiac phoenix lj,pontiac
20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0,chevrolet malibu,chevrolet
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0,ford fairmont (auto),ford
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0,ford fairmont (man),ford
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0,plymouth volare,plymouth
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0,amc concord,amc
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0,buick century special,buick
20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0,mercury zephyr,mercury
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1.0,dodge aspen,dodge
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0,amc concord d/l,amc
19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0,chevrolet monte carlo landau,chevrolet
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0,buick regal sport coupe (turbo),buick
18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1.0,ford futura,ford
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0,dodge magnum xe,dodge
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0,chevrolet chevette,chevrolet
27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0,toyota corona,toyota
27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3.0,datsun 510,datsun
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0,dodge omni,dodge
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0,toyota celica gt liftback,toyota
23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0,plymouth sapporo,plymouth
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0,oldsmobile starfire sx,oldsmobile
23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3.0,datsun 200-sx,datsun
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0,audi 5000,audi
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0,volvo 264gl,volvo
21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0,saab 99gle,saab
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0,peugeot 604sl,peugeot
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0,volkswagen scirocco,volkswagen
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0,honda accord lx,honda
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1.0,pontiac lemans v6,pontiac
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0,mercury zephyr 6,mercury
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0,ford fairmont 4,ford
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0,amc concord dl 6,amc
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0,dodge aspen 6,dodge
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0,chevrolet caprice classic,chevrolet
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0,ford ltd landau,ford
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0,mercury grand marquis,mercury
18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0,dodge st. regis,dodge
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0,buick estate wagon (sw),buick
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0,ford country squire (sw),ford
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0,chevrolet malibu classic (sw),chevrolet
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0,chrysler lebaron town @ country (sw),chrysler
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0,vw rabbit custom,vw
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0,maxda glc deluxe,maxda
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0,dodge colt hatchback custom,dodge
27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0,amc spirit dl,amc
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0,mercedes benz 300d,mercedes
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0,cadillac eldorado,cadillac
27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0,peugeot 504,peugeot
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1.0,oldsmobile cutlass salon brougham,oldsmobile
34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0,plymouth horizon,plymouth
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0,plymouth horizon tc3,plymouth
31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3.0,datsun 210,datsun
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0,fiat strada custom,fiat
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0,buick skylark limited,buick
